fy,month,acwi_exUS,IWV,VBTIX
2001,11,,-0.115190480526504,0.112036291435181
2002,11,-0.109706238643247,-0.158451297877868,0.0476081387673073
2003,11,0.266094055616974,0.183648760755012,0.0464786240672228
2004,11,0.247817033852767,0.131496156007085,0.0436143000067437
2005,11,0.160453954156013,0.0973536075457899,0.0247909845171421
2006,11,0.287328952454581,0.140814071354963,0.0597318458878298
2007,11,0.220519349491941,0.0703588932890413,0.0622936907032705
2008,11,-0.492112617843295,-0.38957428991825,0.0215165524041172
2009,11,0.464149736972128,0.272066550805614,0.115155763361554
2010,11,0.0525769034810859,0.122574650736088,0.057187843602464
2011,11,-0.058984014030941,0.0679096278103142,0.0537139407179323
2012,11,0.116551097572381,0.158210666508176,0.0553104501953206
2013,11,0.182402881399537,0.312877826792099,-0.016832771679443
2014,11,0.00608719412229042,0.155925515387708,0.0513175554199643
2015,11,-0.0731777237955851,0.0244980251253377,0.00895753383728737
2016,11,-0.000303883742762467,0.0819308732677961,0.0197473805055863
2017,11,0.275934319446329,0.218985948315501,0.0336747330618039
2018,11,-0.0811881272361408,0.0526649061719968,-0.0133243504299679
2019,11,0.111962032642667,0.154646918739676,0.108512778946325
2020,11,0.0952380952380953,0.187000557289832,0.0742399627003156
2021,11,0.0914161229983117,0.263198043593204,-0.0108842283247228
2000,12,,,
2001,12,-0.19734,-0.114774482857621,0.0851622669963996
2002,12,-0.149477985697556,-0.216423070232002,0.0786757929420208
2003,12,0.408302572215386,0.311295157903695,0.032266259538291
2004,12,0.20906575690125,0.116958474764499,0.0439555268107745
2005,12,0.166187780664476,0.0608010822883367,0.0255012468574229
2006,12,0.266524048391856,0.156589717868429,0.0443482694574326
2007,12,0.166521055390529,0.0456019054280334,0.0707466439298228
2008,12,-0.455252646295187,-0.371507306287761,0.0521607759958409
2009,12,0.414483694157761,0.282214970037954,0.0611614090982968
2010,12,0.111525825703233,0.168502849009476,0.0629066546768011
2011,12,-0.137074865624308,0.00781233508923429,0.0774209804883173
2012,12,0.168300443855939,0.164344615130999,0.0419963466146371
2013,12,0.152880017116456,0.330124560161703,-0.0212911344361411
2014,12,-0.0386666064773713,0.123943566922955,0.059149008947589
2015,12,-0.0566205090210893,0.00329794396905903,0.00426570528446413
2016,12,0.0449532658591891,0.126332827715567,0.0260728750654242
2017,12,0.271914596322603,0.209705201644817,0.0357675491393097
2018,12,-0.141952370450204,-0.0543549879868028,-5.5307972535168e-05
2019,12,0.215111542192047,0.306580880539697,0.0873479491437374
2020,12,0.106519101518223,0.205459334154702,0.0774613993807103
2021,12,0.0782412667496257,0.255380046088261,-0.0164440672303265
